[2025-03-14 21:37:09,910] [INFO] - G_C_ID = 1029613-14908从表数据共 3 条
[2025-03-14 21:37:09,917] [INFO] - G_C_ID = 1029613-14908从表SUM数据共 1 条
[2025-03-14 21:37:10,013] [INFO] - G_C_ID = 1029617-14912从表数据共 3 条
[2025-03-14 21:37:10,020] [INFO] - G_C_ID = 1029617-14912从表SUM数据共 1 条
[2025-03-14 21:37:10,110] [INFO] - G_C_ID = 1029627-14920从表数据共 3 条
[2025-03-14 21:37:10,122] [INFO] - G_C_ID = 1029627-14920从表SUM数据共 1 条
[2025-03-14 21:37:10,214] [INFO] - G_C_ID = 1029616-14911从表数据共 3 条
[2025-03-14 21:37:10,222] [INFO] - G_C_ID = 1029616-14911从表SUM数据共 1 条
[2025-03-14 21:37:10,314] [INFO] - G_C_ID = 1029608-14903从表数据共 5 条
[2025-03-14 21:37:10,328] [INFO] - G_C_ID = 1029608-14903从表SUM数据共 1 条
[2025-03-14 21:37:10,423] [INFO] - G_C_ID = 1029885-1013388从表数据共 3 条
[2025-03-14 21:37:10,431] [INFO] - G_C_ID = 1029885-1013388从表SUM数据共 1 条
[2025-03-14 21:37:10,522] [INFO] - G_C_ID = 1029866-1013387从表数据共 4 条
[2025-03-14 21:37:10,539] [INFO] - G_C_ID = 1029866-1013387从表SUM数据共 1 条
[2025-03-14 21:37:10,633] [INFO] - G_C_ID = 1030003-1013391从表数据共 3 条
[2025-03-14 21:37:10,642] [INFO] - G_C_ID = 1030003-1013391从表SUM数据共 1 条
[2025-03-14 21:37:10,737] [INFO] - G_C_ID = 1029886-1013389从表数据共 3 条
[2025-03-14 21:37:10,745] [INFO] - G_C_ID = 1029886-1013389从表SUM数据共 1 条
[2025-03-14 21:37:10,840] [INFO] - G_C_ID = 1030019-1013392从表数据共 3 条
[2025-03-14 21:37:10,850] [INFO] - G_C_ID = 1030019-1013392从表SUM数据共 1 条
[2025-03-14 21:37:10,943] [INFO] - G_C_ID = 1029890-1013390从表数据共 5 条
[2025-03-14 21:37:10,963] [INFO] - G_C_ID = 1029890-1013390从表SUM数据共 1 条
[2025-03-14 21:37:10,967] [INFO] - 从表数据同步完成
[2025-03-14 21:37:10,978] [INFO] - Oracle 数据库连接关闭
[2025-03-14 21:37:10,978] [INFO] - MySQL 数据库连接关闭
[2025-03-14 21:37:10,978] [INFO] - === 数据同步完成 ===1
[2025-03-14 21:37:59,020] [INFO] - === 开始清理 2024-07-01 的数据 ===
[2025-03-14 21:37:59,243] [INFO] - 表 `guestcheckdetailssumrow` 清理完成，影响行数：58
[2025-03-14 21:37:59,247] [INFO] - 表 `guestcheckdetails` 清理完成，影响行数：318
